Id,Name
1,10
2,12 Monkeys (DTS)
3,12 Monkeys: Collector's Edition
4,187: Special Edition
5,1941: Collector's Edition
6,200 Cigarettes
7,2001: A Space Odyssey (Original Release)
8,2001: A Space Odyssey (Repackaged Version)
9,2010: The year We Made Contact
10,3 Days Of The Condor
11,48 HRS.
12,8 Seconds
13,9 1/2 Weeks
14,Above The Law
15,Absolute Power
16,Ace Ventura: Pet Detective
17,Ace Ventura: When Nature Calls
18,Action Jackson
19,Action Pack Gift Set
20,Adam Sandler Collection
21,Adam's Rib
22,Addams Family
23,Addams Family Values
24,Addicted to Love
25,Adventures Of Pinocchio
26,"Adventures Of Priscilla, Queen Of The Desert (MGM/UA)"
27,Adventures Of Sebastian Cole
28,Affliction
29,Al Pacino Collection
30,"Alanis Morissette: Jagged Little Pill, Live"
31,Alfred Hitchcock Collection (Box Set)
32,All Dogs Christmas Carol
33,All Quiet On The Western Front (1930)
34,All The President's Men
35,Altered States
36,Always
37,Amadeus
38,American Flyers
39,American Gigolo
40,American Graffiti: Collector's Edition
41,American History X: Platinum Edition
42,American in Paris (MGM/UA)
43,American In Paris (Warner)
44,American Pie: Collector's Edition (R Rated Version)
45,American Pie: Collector's Edition (Unrated Version)
46,American President
47,Analyze This
48,Anchors Aweigh
49,Annie Hall
50,Another 48 Hours
51,Apocalypse Now
52,Apollo 13 (DTS)
53,Apollo 13: Collector's Edition
54,Apostle: Collector's Edition
55,Army Of Darkness
56,Art Garfunkel: Across America
57,Arthur
58,Assassins
59,"Astronaut's Wife, The"
60,At First Sight
61,Austin Powers: Platinum Edition
62,Austin Powers: The Spy Who Shagged Me: Platinum Edition
63,Avengers: The Movie
64,Babe (DTS)
65,Babe: Pig In The City
66,Bachelor
67,Back To School
68,Backdraft
69,Badlands
70,Barbarella
71,Barefoot In The Park
72,Barry Lyndon
73,Baseball
74,BASEketball
75,Bataan
76,Batman
77,Batman & Robin
78,Batman Beyond: The Movie
79,Batman Forever
80,Batman Returns
81,Batman: Mask Of The Phantasm
82,Batteries Not Included
83,Battlestar Galactica
84,Beavis And Butt-Head Do America
85,Bed Of Roses
86,Beethoven
87,Beethoven's 2nd
88,Beetlejuice
89,Before Sunrise
90,Beguiled
